symbol,entry_time,exit_time,direction,entry_price,exit_price,quantity,pnl,exit_reason
INFY-EQ,2025-12-05 12:10:00+05:30,2025-12-05 12:15:00+05:30,LONG,1627.4,1627.2,4999,-999.8000000002273,Stop Loss
TITAN-EQ,2025-12-09 13:35:00+05:30,2025-12-09 14:00:00+05:30,LONG,3866.2,3862.0,235,-986.9999999999573,Stop Loss
ULTRACEMCO-EQ,2025-12-10 14:05:00+05:30,2025-12-10 14:25:00+05:30,SHORT,11369.0,11347.0,89,1958.0,Take Profit
ULTRACEMCO-EQ,2025-12-10 14:30:00+05:30,2025-12-10 14:35:00+05:30,SHORT,11357.0,11349.0,249,1992.0,Take Profit
TECHM-EQ,2025-12-05 13:50:00+05:30,2025-12-05 13:55:00+05:30,LONG,1582.1,1580.1,509,-1018.0,Stop Loss
ADANIENT-EQ,2025-12-01 14:30:00+05:30,2025-12-01 15:10:00+05:30,SHORT,2269.6,2262.5,224,1590.3999999999796,End of Day
ADANIENT-EQ,2025-12-11 13:40:00+05:30,2025-12-11 13:50:00+05:30,LONG,2259.6,2283.6,85,2040.0,Take Profit
NTPC-EQ,2025-12-03 14:15:00+05:30,2025-12-03 14:35:00+05:30,SHORT,321.65,322.15,2091,-1045.5,Stop Loss
TATASTEEL-EQ,2025-12-12 14:00:00+05:30,2025-12-12 14:35:00+05:30,LONG,171.7,171.42,3697,-1035.1600000000042,Stop Loss
ADANIPORTS-EQ,2025-12-03 14:05:00+05:30,2025-12-03 14:10:00+05:30,SHORT,1493.3,1494.0,1464,-1024.8000000000666,Stop Loss
BAJAJFINSV-EQ,2025-12-05 12:20:00+05:30,2025-12-05 12:25:00+05:30,LONG,2099.3,2098.6,1449,-1014.3000000003954,Stop Loss
BAJAJFINSV-EQ,2025-12-05 12:30:00+05:30,2025-12-05 12:40:00+05:30,LONG,2099.7,2104.8999999999996,386,2007.1999999999298,Take Profit
BAJAJFINSV-EQ,2025-12-05 13:15:00+05:30,2025-12-05 13:20:00+05:30,LONG,2102.7,2101.6,931,-1024.0999999999153,Stop Loss
HINDALCO-EQ,2025-12-05 12:20:00+05:30,2025-12-05 14:20:00+05:30,LONG,826.55,824.35,461,-1014.1999999999686,Stop Loss
COALINDIA-EQ,2025-12-09 13:15:00+05:30,2025-12-09 14:15:00+05:30,LONG,380.3,379.65,1544,-1003.6000000000527,Stop Loss
GRASIM-EQ,2025-12-12 13:25:00+05:30,2025-12-12 13:30:00+05:30,LONG,2831.2,2827.8,292,-992.7999999998938,Stop Loss
GRASIM-EQ,2025-12-12 13:45:00+05:30,2025-12-12 14:05:00+05:30,LONG,2833.4,2828.8,213,-979.7999999999806,Stop Loss
TATACONSUM-EQ,2025-12-03 13:05:00+05:30,2025-12-03 13:30:00+05:30,SHORT,1136.1,1137.2,885,-973.5000000001207,Stop Loss
TATACONSUM-EQ,2025-12-08 14:30:00+05:30,2025-12-08 14:50:00+05:30,SHORT,1148.7,1150.9,438,-963.6000000000199,Stop Loss
DIVISLAB-EQ,2025-12-08 13:50:00+05:30,2025-12-08 13:55:00+05:30,SHORT,6331.0,6316.0,127,1905.0,Take Profit
DIVISLAB-EQ,2025-12-08 14:25:00+05:30,2025-12-08 14:35:00+05:30,SHORT,6313.0,6306.0,278,1946.0,Take Profit
BRITANNIA-EQ,2025-12-10 13:15:00+05:30,2025-12-10 13:20:00+05:30,SHORT,5827.0,5830.0,331,-993.0,Stop Loss
HEROMOTOCO-EQ,2025-12-10 14:45:00+05:30,2025-12-10 15:00:00+05:30,SHORT,5928.5,5938.0,103,-978.5,Stop Loss
APOLLOHOSP-EQ,2025-12-10 12:00:00+05:30,2025-12-10 12:05:00+05:30,SHORT,7040.0,7044.0,243,-972.0,Stop Loss
BPCL-EQ,2025-12-01 13:45:00+05:30,2025-12-01 14:00:00+05:30,SHORT,355.0,355.4,2410,-963.9999999999452,Stop Loss
BPCL-EQ,2025-12-01 14:25:00+05:30,2025-12-01 14:50:00+05:30,SHORT,354.95,353.05,1004,1907.5999999999772,Take Profit
BPCL-EQ,2025-12-12 13:50:00+05:30,2025-12-12 13:55:00+05:30,LONG,362.3,362.15,6490,-973.5000000002213,Stop Loss
TRENT-EQ,2025-12-10 13:30:00+05:30,2025-12-10 13:35:00+05:30,SHORT,4057.6,4062.2,209,-961.399999999981,Stop Loss
TRENT-EQ,2025-12-10 14:05:00+05:30,2025-12-10 14:15:00+05:30,SHORT,4047.0,4041.3999999999996,340,1904.0000000001237,Take Profit
TRENT-EQ,2025-12-10 14:30:00+05:30,2025-12-10 14:35:00+05:30,SHORT,4041.9,4040.5000000000005,1390,1945.9999999994943,Take Profit
LTIM-EQ,2025-12-04 12:05:00+05:30,2025-12-04 12:10:00+05:30,LONG,6260.5,6256.5,248,-992.0,Stop Loss
LTIM-EQ,2025-12-04 12:15:00+05:30,2025-12-04 12:25:00+05:30,LONG,6274.0,6259.0,65,-975.0,Stop Loss
LTIM-EQ,2025-12-05 12:20:00+05:30,2025-12-05 12:25:00+05:30,LONG,6366.0,6362.0,243,-972.0,Stop Loss
