symbol,entry_time,exit_time,direction,entry_price,exit_price,quantity,pnl,exit_reason
INFY-EQ,2025-12-05 11:50:00+05:30,2025-12-05 12:55:00+05:30,LONG,1627.1,1623.3,263,-999.399999999988,Stop Loss
HINDUNILVR-EQ,2025-12-08 14:15:00+05:30,2025-12-08 14:20:00+05:30,SHORT,2306.5,2306.6,9900,-989.9999999990996,Stop Loss
HINDUNILVR-EQ,2025-12-08 14:30:00+05:30,2025-12-08 14:35:00+05:30,SHORT,2308.9,2306.4,980,2450.0,Take Profit
SBIN-EQ,2025-12-03 11:30:00+05:30,2025-12-03 11:35:00+05:30,SHORT,948.95,949.5,1826,-1004.299999999917,Stop Loss
SBIN-EQ,2025-12-08 14:00:00+05:30,2025-12-08 14:15:00+05:30,SHORT,953.85,955.0,864,-993.5999999999804,Stop Loss
SBIN-EQ,2025-12-08 14:20:00+05:30,2025-12-08 14:25:00+05:30,SHORT,954.3,955.05,1312,-984.0,Stop Loss
SBIN-EQ,2025-12-08 14:45:00+05:30,2025-12-08 14:50:00+05:30,SHORT,954.1,955.2,886,-974.6000000000201,Stop Loss
ASIANPAINT-EQ,2025-12-02 14:20:00+05:30,2025-12-02 15:00:00+05:30,LONG,2934.5,2944.0000000000005,253,2403.500000000115,Take Profit
HCLTECH-EQ,2025-12-05 11:45:00+05:30,2025-12-05 14:00:00+05:30,LONG,1685.6,1683.0,380,-987.9999999999654,Stop Loss
TITAN-EQ,2025-12-03 14:15:00+05:30,2025-12-03 14:30:00+05:30,SHORT,3808.7,3800.699999999999,305,2440.0000000002774,Take Profit
NESTLEIND-EQ,2025-12-08 14:00:00+05:30,2025-12-08 14:30:00+05:30,SHORT,1221.2,1218.7,1003,2507.5,Take Profit
NESTLEIND-EQ,2025-12-08 14:40:00+05:30,2025-12-08 14:50:00+05:30,SHORT,1217.7,1218.3,1714,-1028.399999999844,Stop Loss
ULTRACEMCO-EQ,2025-12-10 14:05:00+05:30,2025-12-10 14:25:00+05:30,SHORT,11369.0,11341.5,92,2530.0,Take Profit
ULTRACEMCO-EQ,2025-12-10 14:30:00+05:30,2025-12-10 14:35:00+05:30,SHORT,11357.0,11347.0,260,2600.0,Take Profit
TECHM-EQ,2025-12-05 11:55:00+05:30,2025-12-05 12:20:00+05:30,LONG,1576.6,1580.5999999999997,668,2671.999999999848,Take Profit
ADANIENT-EQ,2025-12-01 14:30:00+05:30,2025-12-01 15:10:00+05:30,SHORT,2269.6,2262.5,243,1725.299999999978,End of Day
ADANIENT-EQ,2025-12-08 14:15:00+05:30,2025-12-08 14:20:00+05:30,SHORT,2207.1,2211.1,278,-1112.0,Stop Loss
ADANIENT-EQ,2025-12-11 14:00:00+05:30,2025-12-11 14:05:00+05:30,LONG,2277.5,2276.8,1575,-1102.4999999997135,Stop Loss
ADANIENT-EQ,2025-12-11 14:10:00+05:30,2025-12-11 14:20:00+05:30,LONG,2278.8,2283.3000000000006,606,2727.0000000002756,Take Profit
ADANIENT-EQ,2025-12-11 14:25:00+05:30,2025-12-11 14:35:00+05:30,LONG,2284.9,2279.5,207,-1117.8000000000188,Stop Loss
POWERGRID-EQ,2025-12-08 14:05:00+05:30,2025-12-08 14:10:00+05:30,SHORT,265.3,265.5,5538,-1107.5999999999372,Stop Loss
POWERGRID-EQ,2025-12-08 14:15:00+05:30,2025-12-08 14:20:00+05:30,SHORT,265.4,265.45,21930,-1096.5000000002492,Stop Loss
NTPC-EQ,2025-12-03 14:15:00+05:30,2025-12-03 14:35:00+05:30,SHORT,321.65,322.15,2171,-1085.5,Stop Loss
TATAMOTORS-EQ,2025-12-08 14:00:00+05:30,2025-12-08 14:05:00+05:30,SHORT,347.8,346.92500000000007,3070,2686.2499999998254,Take Profit
TATAMOTORS-EQ,2025-12-08 14:15:00+05:30,2025-12-08 14:20:00+05:30,SHORT,346.5,346.85,3147,-1101.4500000000717,Stop Loss
TATAMOTORS-EQ,2025-12-08 14:25:00+05:30,2025-12-08 14:30:00+05:30,SHORT,346.8,347.0,5452,-1090.399999999938,Stop Loss
TATAMOTORS-EQ,2025-12-10 11:00:00+05:30,2025-12-10 11:10:00+05:30,SHORT,342.3,343.0,1542,-1079.3999999999824,Stop Loss
TATASTEEL-EQ,2025-12-08 14:05:00+05:30,2025-12-08 14:10:00+05:30,SHORT,164.03,163.85500000000002,15269,2672.0749999997397,Take Profit
TATASTEEL-EQ,2025-12-08 14:15:00+05:30,2025-12-08 14:20:00+05:30,SHORT,163.79,163.54000000000002,10955,2738.7499999996885,Take Profit
TATASTEEL-EQ,2025-12-12 14:00:00+05:30,2025-12-12 14:35:00+05:30,LONG,171.7,171.42,4010,-1122.8000000000045,Stop Loss
ADANIPORTS-EQ,2025-12-03 14:00:00+05:30,2025-12-03 14:10:00+05:30,SHORT,1490.3,1494.3,277,-1108.0,Stop Loss
BAJAJFINSV-EQ,2025-12-08 14:55:00+05:30,2025-12-08 15:00:00+05:30,SHORT,2042.7,2052.8,108,-1090.8000000000147,Stop Loss
HINDALCO-EQ,2025-12-05 11:55:00+05:30,2025-12-05 12:00:00+05:30,LONG,826.55,826.4,7265,-1089.749999999835,Stop Loss
HINDALCO-EQ,2025-12-12 14:10:00+05:30,2025-12-12 14:15:00+05:30,LONG,853.2,853.7000000000002,5394,2697.000000000613,Take Profit
HINDALCO-EQ,2025-12-12 14:20:00+05:30,2025-12-12 14:30:00+05:30,LONG,854.3,853.45,1300,-1104.9999999998818,Stop Loss
JSWSTEEL-EQ,2025-12-03 14:15:00+05:30,2025-12-03 15:10:00+05:30,SHORT,1128.5,1141.7,33,-435.6000000000015,End of Day
JSWSTEEL-EQ,2025-12-08 14:15:00+05:30,2025-12-08 14:20:00+05:30,SHORT,1122.6,1123.2,1817,-1090.2000000002479,Stop Loss
JSWSTEEL-EQ,2025-12-08 14:25:00+05:30,2025-12-08 14:35:00+05:30,SHORT,1121.3,1117.0499999999997,635,2698.7500000001446,Take Profit
JSWSTEEL-EQ,2025-12-08 14:50:00+05:30,2025-12-08 15:00:00+05:30,SHORT,1119.8,1121.9,526,-1104.6000000000718,Stop Loss
JSWSTEEL-EQ,2025-12-10 14:25:00+05:30,2025-12-10 14:30:00+05:30,SHORT,1098.1,1099.8,644,-1094.8000000000293,Stop Loss
INDUSINDBK-EQ,2025-12-08 14:15:00+05:30,2025-12-08 14:20:00+05:30,SHORT,837.5,836.25,2169,2711.25,Take Profit
INDUSINDBK-EQ,2025-12-10 11:00:00+05:30,2025-12-10 12:20:00+05:30,SHORT,836.35,840.2,288,-1108.8000000000065,Stop Loss
INDUSINDBK-EQ,2025-12-10 14:00:00+05:30,2025-12-10 14:45:00+05:30,SHORT,836.6,833.3500000000001,846,2749.4999999999036,Take Profit
GRASIM-EQ,2025-12-11 14:35:00+05:30,2025-12-11 15:00:00+05:30,LONG,2797.8,2794.0,296,-1124.8000000000538,Stop Loss
TATACONSUM-EQ,2025-12-08 14:00:00+05:30,2025-12-08 14:10:00+05:30,SHORT,1147.4,1148.1,1595,-1116.4999999997099,Stop Loss
TATACONSUM-EQ,2025-12-08 14:15:00+05:30,2025-12-08 14:25:00+05:30,SHORT,1148.0,1148.3,3685,-1105.4999999998324,Stop Loss
TATACONSUM-EQ,2025-12-08 14:30:00+05:30,2025-12-08 14:50:00+05:30,SHORT,1148.7,1150.9,497,-1093.4000000000226,Stop Loss
DIVISLAB-EQ,2025-12-08 14:00:00+05:30,2025-12-08 14:25:00+05:30,SHORT,6312.5,6287.5,108,2700.0,Take Profit
DIVISLAB-EQ,2025-12-08 14:30:00+05:30,2025-12-08 14:35:00+05:30,SHORT,6309.0,6294.0,185,2775.0,Take Profit
DIVISLAB-EQ,2025-12-08 14:40:00+05:30,2025-12-08 15:00:00+05:30,SHORT,6282.5,6296.5,81,-1134.0,Stop Loss
HEROMOTOCO-EQ,2025-12-08 14:15:00+05:30,2025-12-08 14:20:00+05:30,SHORT,6170.0,6160.0,281,2810.0,Take Profit
HEROMOTOCO-EQ,2025-12-08 14:25:00+05:30,2025-12-08 14:30:00+05:30,SHORT,6167.0,6159.5,385,2887.5,Take Profit
HEROMOTOCO-EQ,2025-12-10 14:05:00+05:30,2025-12-10 14:10:00+05:30,SHORT,5932.5,5937.0,263,-1183.5,Stop Loss
HEROMOTOCO-EQ,2025-12-10 14:15:00+05:30,2025-12-10 14:25:00+05:30,SHORT,5925.0,5929.0,293,-1172.0,Stop Loss
HEROMOTOCO-EQ,2025-12-10 14:45:00+05:30,2025-12-10 15:00:00+05:30,SHORT,5928.5,5938.0,122,-1159.0,Stop Loss
BPCL-EQ,2025-12-01 14:25:00+05:30,2025-12-01 14:50:00+05:30,SHORT,354.95,352.57500000000005,1209,2871.3749999999313,Take Profit
BPCL-EQ,2025-12-12 14:00:00+05:30,2025-12-12 15:05:00+05:30,LONG,362.7,363.95,2355,2943.75,Take Profit
