symbol,entry_time,exit_time,direction,entry_price,exit_price,quantity,pnl,exit_reason
TCS-EQ,2025-12-03 12:15:00+05:30,2025-12-03 12:25:00+05:30,LONG,3209.4,3201.1,120,-996.0000000000218,Stop Loss
TCS-EQ,2025-12-10 10:55:00+05:30,2025-12-10 11:05:00+05:30,SHORT,3181.6,3186.5,202,-989.8000000000184,Stop Loss
INFY-EQ,2025-12-05 10:40:00+05:30,2025-12-05 13:40:00+05:30,LONG,1625.8,1620.0,168,-974.3999999999924,Stop Loss
HINDUNILVR-EQ,2025-12-04 14:55:00+05:30,2025-12-04 15:00:00+05:30,LONG,2474.0,2471.4,373,-969.7999999999661,Stop Loss
KOTAKBANK-EQ,2025-12-11 12:30:00+05:30,2025-12-11 12:35:00+05:30,LONG,2200.0,2199.3,1372,-960.3999999997504,Stop Loss
SBIN-EQ,2025-12-03 11:30:00+05:30,2025-12-03 11:35:00+05:30,SHORT,948.95,949.5,1729,-950.9499999999214,Stop Loss
ASIANPAINT-EQ,2025-12-02 14:00:00+05:30,2025-12-02 15:00:00+05:30,LONG,2927.0,2947.3999999999996,92,1876.7999999999665,Take Profit
HCLTECH-EQ,2025-12-05 11:45:00+05:30,2025-12-05 12:45:00+05:30,LONG,1685.6,1690.7999999999997,369,1918.7999999999329,Take Profit
TITAN-EQ,2025-12-03 12:50:00+05:30,2025-12-03 13:20:00+05:30,SHORT,3816.5,3825.0,115,-977.5,Stop Loss
TITAN-EQ,2025-12-03 14:05:00+05:30,2025-12-03 14:25:00+05:30,SHORT,3815.0,3805.8,210,1931.9999999999618,Take Profit
ULTRACEMCO-EQ,2025-12-10 14:05:00+05:30,2025-12-10 14:25:00+05:30,SHORT,11369.0,11347.0,89,1958.0,Take Profit
ULTRACEMCO-EQ,2025-12-10 14:30:00+05:30,2025-12-10 14:35:00+05:30,SHORT,11357.0,11349.0,252,2016.0,Take Profit
WIPRO-EQ,2025-12-05 12:50:00+05:30,2025-12-05 12:55:00+05:30,LONG,260.77,260.58,5414,-1028.6599999999876,Stop Loss
TECHM-EQ,2025-12-05 11:25:00+05:30,2025-12-05 11:30:00+05:30,LONG,1574.0,1572.8,848,-1017.6000000000386,Stop Loss
TECHM-EQ,2025-12-05 11:55:00+05:30,2025-12-05 12:05:00+05:30,LONG,1576.6,1579.7999999999997,630,2015.9999999998854,Take Profit
ADANIENT-EQ,2025-12-11 14:00:00+05:30,2025-12-11 14:05:00+05:30,LONG,2277.5,2276.8,1469,-1028.2999999997328,Stop Loss
ADANIENT-EQ,2025-12-11 14:10:00+05:30,2025-12-11 14:20:00+05:30,LONG,2278.8,2282.4000000000005,565,2034.0000000002055,Take Profit
ADANIENT-EQ,2025-12-11 14:25:00+05:30,2025-12-11 14:35:00+05:30,LONG,2284.9,2279.5,192,-1036.8000000000175,Stop Loss
NTPC-EQ,2025-12-03 12:05:00+05:30,2025-12-03 12:10:00+05:30,SHORT,321.65,321.95,3427,-1028.100000000039,Stop Loss
NTPC-EQ,2025-12-03 12:50:00+05:30,2025-12-03 12:55:00+05:30,SHORT,321.7,322.05,2908,-1017.8000000000661,Stop Loss
NTPC-EQ,2025-12-03 14:15:00+05:30,2025-12-03 14:35:00+05:30,SHORT,321.65,322.15,2015,-1007.5,Stop Loss
TATAMOTORS-EQ,2025-12-10 11:00:00+05:30,2025-12-10 11:10:00+05:30,SHORT,342.3,343.0,1425,-997.4999999999839,Stop Loss
TATAMOTORS-EQ,2025-12-10 12:35:00+05:30,2025-12-10 12:55:00+05:30,SHORT,343.1,343.45,2822,-987.6999999999038,Stop Loss
TATAMOTORS-EQ,2025-12-10 14:15:00+05:30,2025-12-10 14:30:00+05:30,SHORT,343.1,343.35,3911,-977.75,Stop Loss
TATASTEEL-EQ,2025-12-12 14:00:00+05:30,2025-12-12 14:35:00+05:30,LONG,171.7,171.42,3457,-967.9600000000039,Stop Loss
ADANIPORTS-EQ,2025-12-03 14:00:00+05:30,2025-12-03 14:10:00+05:30,SHORT,1490.3,1494.3,239,-956.0,Stop Loss
M&M-EQ,2025-12-03 11:35:00+05:30,2025-12-03 11:55:00+05:30,SHORT,3653.6,3640.7999999999997,148,1894.400000000027,Take Profit
M&M-EQ,2025-12-10 14:30:00+05:30,2025-12-10 14:40:00+05:30,SHORT,3637.4,3638.7,744,-967.199999999797,Stop Loss
BAJAJFINSV-EQ,2025-12-05 12:05:00+05:30,2025-12-05 13:00:00+05:30,LONG,2098.1,2106.4999999999995,228,1915.199999999917,Take Profit
HINDALCO-EQ,2025-12-05 11:55:00+05:30,2025-12-05 12:00:00+05:30,LONG,826.55,826.4,6514,-977.0999999998519,Stop Loss
HINDALCO-EQ,2025-12-05 12:20:00+05:30,2025-12-05 14:20:00+05:30,LONG,826.55,824.35,439,-965.79999999997,Stop Loss
HINDALCO-EQ,2025-12-12 14:10:00+05:30,2025-12-12 14:15:00+05:30,LONG,853.2,853.6000000000001,4789,1915.6000000004356,Take Profit
HINDALCO-EQ,2025-12-12 14:20:00+05:30,2025-12-12 14:30:00+05:30,LONG,854.3,853.45,1149,-976.6499999998955,Stop Loss
JSWSTEEL-EQ,2025-12-03 14:15:00+05:30,2025-12-03 15:10:00+05:30,SHORT,1128.5,1141.7,29,-382.8000000000013,End of Day
JSWSTEEL-EQ,2025-12-10 14:00:00+05:30,2025-12-10 15:10:00+05:30,SHORT,1099.4,1097.9,253,379.5,End of Day
INDUSINDBK-EQ,2025-12-10 11:00:00+05:30,2025-12-10 12:20:00+05:30,SHORT,836.35,840.2,251,-966.3500000000057,Stop Loss
INDUSINDBK-EQ,2025-12-10 14:00:00+05:30,2025-12-10 14:45:00+05:30,SHORT,836.6,834.0000000000001,736,1913.599999999933,Take Profit
