symbol,entry_time,exit_time,direction,entry_price,exit_price,quantity,pnl,exit_reason
TCS-EQ,2025-12-10 10:55:00+05:30,2025-12-10 11:05:00+05:30,SHORT,3181.6,3186.5,204,-999.6000000000186,Stop Loss
INFY-EQ,2025-12-05 10:40:00+05:30,2025-12-05 13:40:00+05:30,LONG,1625.8,1620.0,170,-985.9999999999923,Stop Loss
HINDUNILVR-EQ,2025-12-04 14:55:00+05:30,2025-12-04 15:00:00+05:30,LONG,2474.0,2471.4,376,-977.5999999999658,Stop Loss
HINDUNILVR-EQ,2025-12-08 14:15:00+05:30,2025-12-08 14:20:00+05:30,SHORT,2306.5,2306.6,9703,-970.2999999991175,Stop Loss
HINDUNILVR-EQ,2025-12-08 14:30:00+05:30,2025-12-08 14:35:00+05:30,SHORT,2308.9,2306.9,960,1920.0,Take Profit
SBIN-EQ,2025-12-03 11:30:00+05:30,2025-12-03 11:35:00+05:30,SHORT,948.95,949.5,1781,-979.549999999919,Stop Loss
SBIN-EQ,2025-12-08 14:00:00+05:30,2025-12-08 14:15:00+05:30,SHORT,953.85,955.0,843,-969.4499999999808,Stop Loss
SBIN-EQ,2025-12-08 14:20:00+05:30,2025-12-08 14:25:00+05:30,SHORT,954.3,955.05,1280,-960.0,Stop Loss
SBIN-EQ,2025-12-08 14:45:00+05:30,2025-12-08 14:50:00+05:30,SHORT,954.1,955.2,864,-950.4000000000196,Stop Loss
ASIANPAINT-EQ,2025-12-02 14:00:00+05:30,2025-12-02 15:00:00+05:30,LONG,2927.0,2947.3999999999996,92,1876.7999999999665,Take Profit
HCLTECH-EQ,2025-12-05 11:45:00+05:30,2025-12-05 12:45:00+05:30,LONG,1685.6,1690.7999999999997,369,1918.7999999999329,Take Profit
TITAN-EQ,2025-12-03 14:05:00+05:30,2025-12-03 14:25:00+05:30,SHORT,3815.0,3805.8,212,1950.3999999999614,Take Profit
NESTLEIND-EQ,2025-12-08 14:00:00+05:30,2025-12-08 14:30:00+05:30,SHORT,1221.2,1219.2,998,1996.0,Take Profit
NESTLEIND-EQ,2025-12-08 14:40:00+05:30,2025-12-08 14:45:00+05:30,SHORT,1217.7,1216.5000000000002,1697,2036.3999999996913,Take Profit
NESTLEIND-EQ,2025-12-08 14:50:00+05:30,2025-12-08 15:10:00+05:30,SHORT,1216.5,1214.2,371,853.2999999999831,End of Day
ULTRACEMCO-EQ,2025-12-10 14:05:00+05:30,2025-12-10 14:25:00+05:30,SHORT,11369.0,11347.0,95,2090.0,Take Profit
ULTRACEMCO-EQ,2025-12-10 14:30:00+05:30,2025-12-10 14:35:00+05:30,SHORT,11357.0,11349.0,267,2136.0,Take Profit
TECHM-EQ,2025-12-05 11:25:00+05:30,2025-12-05 11:30:00+05:30,LONG,1574.0,1572.8,908,-1089.6000000000413,Stop Loss
TECHM-EQ,2025-12-05 11:55:00+05:30,2025-12-05 12:05:00+05:30,LONG,1576.6,1579.7999999999997,674,2156.7999999998774,Take Profit
ADANIENT-EQ,2025-12-01 14:30:00+05:30,2025-12-01 15:10:00+05:30,SHORT,2269.6,2262.5,244,1732.3999999999778,End of Day
ADANIENT-EQ,2025-12-08 14:15:00+05:30,2025-12-08 14:20:00+05:30,SHORT,2207.1,2211.1,279,-1116.0,Stop Loss
ADANIENT-EQ,2025-12-11 14:00:00+05:30,2025-12-11 14:05:00+05:30,LONG,2277.5,2276.8,1580,-1105.9999999997126,Stop Loss
ADANIENT-EQ,2025-12-11 14:10:00+05:30,2025-12-11 14:20:00+05:30,LONG,2278.8,2282.4000000000005,608,2188.800000000221,Take Profit
ADANIENT-EQ,2025-12-11 14:25:00+05:30,2025-12-11 14:35:00+05:30,LONG,2284.9,2279.5,206,-1112.4000000000187,Stop Loss
POWERGRID-EQ,2025-12-08 14:05:00+05:30,2025-12-08 14:10:00+05:30,SHORT,265.3,265.5,5531,-1106.199999999937,Stop Loss
POWERGRID-EQ,2025-12-08 14:15:00+05:30,2025-12-08 14:20:00+05:30,SHORT,265.4,265.45,21906,-1095.300000000249,Stop Loss
NTPC-EQ,2025-12-03 14:15:00+05:30,2025-12-03 14:35:00+05:30,SHORT,321.65,322.15,2168,-1084.0,Stop Loss
TATAMOTORS-EQ,2025-12-08 14:00:00+05:30,2025-12-08 14:05:00+05:30,SHORT,347.8,347.1000000000001,3067,2146.899999999791,Take Profit
TATAMOTORS-EQ,2025-12-08 14:15:00+05:30,2025-12-08 14:20:00+05:30,SHORT,346.5,346.85,3128,-1094.8000000000711,Stop Loss
TATAMOTORS-EQ,2025-12-08 14:25:00+05:30,2025-12-08 14:30:00+05:30,SHORT,346.8,347.0,5420,-1083.9999999999384,Stop Loss
TATAMOTORS-EQ,2025-12-10 11:00:00+05:30,2025-12-10 11:10:00+05:30,SHORT,342.3,343.0,1533,-1073.0999999999826,Stop Loss
TATAMOTORS-EQ,2025-12-10 14:15:00+05:30,2025-12-10 14:30:00+05:30,SHORT,343.1,343.35,4249,-1062.25,Stop Loss
TATASTEEL-EQ,2025-12-08 14:05:00+05:30,2025-12-08 14:10:00+05:30,SHORT,164.03,163.89000000000001,15026,2103.639999999795,Take Profit
TATASTEEL-EQ,2025-12-08 14:15:00+05:30,2025-12-08 14:20:00+05:30,SHORT,163.79,163.59,10728,2145.599999999878,Take Profit
TATASTEEL-EQ,2025-12-12 14:00:00+05:30,2025-12-12 14:35:00+05:30,LONG,171.7,171.42,3908,-1094.2400000000043,Stop Loss
ADANIPORTS-EQ,2025-12-03 14:00:00+05:30,2025-12-03 14:10:00+05:30,SHORT,1490.3,1494.3,270,-1080.0,Stop Loss
M&M-EQ,2025-12-03 11:35:00+05:30,2025-12-03 11:55:00+05:30,SHORT,3653.6,3640.7999999999997,167,2137.6000000000304,Take Profit
M&M-EQ,2025-12-10 14:30:00+05:30,2025-12-10 14:40:00+05:30,SHORT,3637.4,3638.7,841,-1093.2999999997705,Stop Loss
BAJAJFINSV-EQ,2025-12-08 14:55:00+05:30,2025-12-08 15:00:00+05:30,SHORT,2042.7,2052.8,107,-1080.7000000000146,Stop Loss
HINDALCO-EQ,2025-12-05 11:55:00+05:30,2025-12-05 12:00:00+05:30,LONG,826.55,826.4,7148,-1072.1999999998375,Stop Loss
HINDALCO-EQ,2025-12-12 14:10:00+05:30,2025-12-12 14:15:00+05:30,LONG,853.2,853.6000000000001,5307,2122.8000000004827,Take Profit
HINDALCO-EQ,2025-12-12 14:20:00+05:30,2025-12-12 14:30:00+05:30,LONG,854.3,853.45,1273,-1082.0499999998842,Stop Loss
JSWSTEEL-EQ,2025-12-03 14:15:00+05:30,2025-12-03 15:10:00+05:30,SHORT,1128.5,1141.7,32,-422.40000000000146,End of Day
JSWSTEEL-EQ,2025-12-08 14:15:00+05:30,2025-12-08 14:20:00+05:30,SHORT,1122.6,1123.2,1779,-1067.4000000002427,Stop Loss
JSWSTEEL-EQ,2025-12-08 14:25:00+05:30,2025-12-08 14:35:00+05:30,SHORT,1121.3,1117.8999999999999,621,2111.4000000000565,Take Profit
JSWSTEEL-EQ,2025-12-08 14:50:00+05:30,2025-12-08 15:00:00+05:30,SHORT,1119.8,1121.9,513,-1077.30000000007,Stop Loss
