symbol,entry_time,exit_time,direction,entry_price,exit_price,quantity,pnl,exit_reason
RELIANCE-EQ,2024-12-05 14:10:00+05:30,2024-12-05 14:45:00+05:30,LONG,1323.35,1329.9499999999998,303,1999.7999999999724,Take Profit
HDFCBANK-EQ,2024-12-05 14:10:00+05:30,2024-12-05 14:50:00+05:30,LONG,936.3,933.05,313,-1017.25,Stop Loss
HINDUNILVR-EQ,2024-12-05 14:40:00+05:30,2024-12-05 14:50:00+05:30,LONG,2508.3,2504.55,269,-1008.75,Stop Loss
HINDUNILVR-EQ,2024-12-12 12:55:00+05:30,2024-12-12 13:10:00+05:30,SHORT,2350.0,2347.8,908,1997.5999999998348,Take Profit
HINDUNILVR-EQ,2024-12-12 14:00:00+05:30,2024-12-12 14:20:00+05:30,SHORT,2341.6,2338.9,755,2038.4999999998627,Take Profit
BHARTIARTL-EQ,2024-12-05 14:35:00+05:30,2024-12-05 14:40:00+05:30,LONG,1615.3,1611.5,273,-1037.3999999999876,Stop Loss
