symbol,entry_time,exit_time,direction,entry_price,exit_price,quantity,pnl,exit_reason
ULTRACEMCO-EQ,2025-12-10 14:05:00+05:30,2025-12-10 14:25:00+05:30,SHORT,11369.0,11347.0,90,1980.0,Take Profit
ULTRACEMCO-EQ,2025-12-10 14:30:00+05:30,2025-12-10 14:35:00+05:30,SHORT,11357.0,11349.0,254,2032.0,Take Profit
ADANIENT-EQ,2025-12-01 14:30:00+05:30,2025-12-01 15:10:00+05:30,SHORT,2269.6,2262.5,231,1640.099999999979,End of Day
NTPC-EQ,2025-12-03 14:15:00+05:30,2025-12-03 14:35:00+05:30,SHORT,321.65,322.15,2113,-1056.5,Stop Loss
TATASTEEL-EQ,2025-12-12 14:00:00+05:30,2025-12-12 14:35:00+05:30,LONG,171.7,171.42,3735,-1045.8000000000043,Stop Loss
ADANIPORTS-EQ,2025-12-03 14:05:00+05:30,2025-12-03 14:10:00+05:30,SHORT,1493.3,1494.0,1479,-1035.3000000000673,Stop Loss
TATACONSUM-EQ,2025-12-08 14:30:00+05:30,2025-12-08 14:50:00+05:30,SHORT,1148.7,1150.9,465,-1023.0000000000211,Stop Loss
DIVISLAB-EQ,2025-12-08 14:25:00+05:30,2025-12-08 14:35:00+05:30,SHORT,6313.0,6306.0,289,2023.0,Take Profit
HEROMOTOCO-EQ,2025-12-10 14:45:00+05:30,2025-12-10 15:00:00+05:30,SHORT,5928.5,5938.0,108,-1026.0,Stop Loss
BPCL-EQ,2025-12-01 14:25:00+05:30,2025-12-01 14:50:00+05:30,SHORT,354.95,353.05,1078,2048.1999999999753,Take Profit
TRENT-EQ,2025-12-10 14:05:00+05:30,2025-12-10 14:15:00+05:30,SHORT,4047.0,4041.3999999999996,373,2088.8000000001357,Take Profit
TRENT-EQ,2025-12-10 14:30:00+05:30,2025-12-10 14:35:00+05:30,SHORT,4041.9,4040.5000000000005,1523,2132.199999999446,Take Profit
