symbol,entry_time,exit_time,direction,entry_price,exit_price,quantity,pnl,exit_reason
RELIANCE-EQ,2024-11-27 13:55:00+05:30,2024-11-27 14:15:00+05:30,LONG,1298.35,1295.0,298,-998.2999999999729,Stop Loss
RELIANCE-EQ,2024-11-29 13:25:00+05:30,2024-11-29 13:30:00+05:30,LONG,1296.5,1297.5,1980,1980.0,Take Profit
HDFCBANK-EQ,2024-11-25 12:15:00+05:30,2024-11-25 12:20:00+05:30,LONG,890.53,890.3,4390,-1009.7000000000799,Stop Loss
HDFCBANK-EQ,2024-11-27 12:10:00+05:30,2024-11-27 12:15:00+05:30,LONG,897.35,898.65,1538,1999.39999999993,Take Profit
HDFCBANK-EQ,2024-11-27 12:20:00+05:30,2024-11-27 12:25:00+05:30,LONG,899.6,899.35,4078,-1019.5,Stop Loss
HDFCBANK-EQ,2024-11-27 13:55:00+05:30,2024-11-27 15:00:00+05:30,LONG,901.13,907.4899999999999,317,2016.1199999999683,Take Profit
