period,description,start_date,end_date,total_trades,winning_trades,losing_trades,win_rate,total_pnl,total_return_pct,profit_factor,avg_win,avg_loss,largest_win,largest_loss,max_drawdown,expectancy
1 WEEK,"Last 7 days (Dec 11-18, 2025)",2025-12-11,2025-12-18,0,0,0,0,0,0,0,0,0,0,0,0,0
1 MONTH,"Last 30 days (Nov 18 - Dec 18, 2025)",2025-11-18,2025-12-18,8,4,4,50.0,0,0,0.5950025861563542,2789.625,-4688.424999999824,8376.0,-4998.400000000103,0,-949.3999999999119
3 MONTHS,"Last 90 days (Sep 18 - Dec 18, 2025)",2025-09-19,2025-12-18,60,19,41,31.666666666666664,0,0,0.6601364732846926,5209.161578947368,-3656.8221951220726,9499.600000000253,-5224.800000003168,0,-849.2606666667501
6 MONTHS,"Last 180 days (Jun 18 - Dec 18, 2025)",2025-06-21,2025-12-18,63,21,42,33.33333333333333,0,0,0.7076141396654347,5215.154285714302,-3685.0269047620122,9499.600000000253,-5224.800000003168,0,-718.2998412699075
1 YEAR,"Full year (Dec 18, 2024 - Dec 18, 2025)",2024-12-18,2025-12-18,63,21,42,33.33333333333333,0,0,0.7076141396654347,5215.154285714302,-3685.0269047620122,9499.600000000253,-5224.800000003168,0,-718.2998412699075
