symbol,entry_time,exit_time,direction,entry_price,exit_price,quantity,pnl,exit_reason
HINDUNILVR-EQ,2025-12-08 14:15:00+05:30,2025-12-08 14:20:00+05:30,SHORT,2306.5,2306.6,10000,-999.9999999990905,Stop Loss
SBIN-EQ,2025-12-08 14:00:00+05:30,2025-12-08 14:15:00+05:30,SHORT,953.85,955.0,860,-988.9999999999804,Stop Loss
SBIN-EQ,2025-12-08 14:20:00+05:30,2025-12-08 14:25:00+05:30,SHORT,954.3,955.05,1306,-979.5,Stop Loss
SBIN-EQ,2025-12-08 14:45:00+05:30,2025-12-08 14:50:00+05:30,SHORT,954.1,955.2,882,-970.20000000002,Stop Loss
ASIANPAINT-EQ,2025-12-02 14:20:00+05:30,2025-12-02 14:55:00+05:30,LONG,2934.5,2942.1000000000004,252,1915.2000000000917,Take Profit
HCLTECH-EQ,2025-12-05 11:45:00+05:30,2025-12-05 12:45:00+05:30,LONG,1685.6,1690.7999999999997,376,1955.1999999999316,Take Profit
TITAN-EQ,2025-12-03 14:25:00+05:30,2025-12-03 14:35:00+05:30,SHORT,3805.8,3797.4000000000005,237,1990.7999999999138,Take Profit
NESTLEIND-EQ,2025-12-08 14:10:00+05:30,2025-12-08 14:20:00+05:30,SHORT,1220.0,1221.4,728,-1019.2000000000662,Stop Loss
NESTLEIND-EQ,2025-12-08 14:40:00+05:30,2025-12-08 14:45:00+05:30,SHORT,1217.7,1216.5000000000002,1681,2017.1999999996942,Take Profit
NESTLEIND-EQ,2025-12-08 14:50:00+05:30,2025-12-08 15:10:00+05:30,SHORT,1216.5,1214.2,367,844.0999999999833,End of Day
ULTRACEMCO-EQ,2025-12-10 14:25:00+05:30,2025-12-10 14:35:00+05:30,SHORT,11352.0,11330.0,94,2068.0,Take Profit
ADANIENT-EQ,2025-12-01 14:30:00+05:30,2025-12-01 15:10:00+05:30,SHORT,2269.6,2262.5,235,1668.4999999999786,End of Day
ADANIENT-EQ,2025-12-08 14:15:00+05:30,2025-12-08 14:20:00+05:30,SHORT,2207.1,2211.1,268,-1072.0,Stop Loss
ADANIENT-EQ,2025-12-11 14:00:00+05:30,2025-12-11 14:05:00+05:30,LONG,2277.5,2276.8,1520,-1063.9999999997235,Stop Loss
ADANIENT-EQ,2025-12-11 14:10:00+05:30,2025-12-11 14:20:00+05:30,LONG,2278.8,2282.4000000000005,585,2106.000000000213,Take Profit
ADANIENT-EQ,2025-12-11 14:25:00+05:30,2025-12-11 14:35:00+05:30,LONG,2284.9,2279.5,199,-1074.600000000018,Stop Loss
TATAMOTORS-EQ,2025-12-08 14:00:00+05:30,2025-12-08 14:05:00+05:30,SHORT,347.8,347.1000000000001,3039,2127.299999999793,Take Profit
TATAMOTORS-EQ,2025-12-08 14:15:00+05:30,2025-12-08 14:20:00+05:30,SHORT,346.5,346.85,3100,-1085.0000000000705,Stop Loss
TATAMOTORS-EQ,2025-12-08 14:25:00+05:30,2025-12-08 14:30:00+05:30,SHORT,346.8,347.0,5371,-1074.1999999999389,Stop Loss
TATASTEEL-EQ,2025-12-08 14:05:00+05:30,2025-12-08 14:10:00+05:30,SHORT,164.03,163.89000000000001,15194,2127.1599999997925,Take Profit
TATASTEEL-EQ,2025-12-08 14:15:00+05:30,2025-12-08 14:20:00+05:30,SHORT,163.79,163.59,10849,2169.7999999998765,Take Profit
TATASTEEL-EQ,2025-12-12 14:05:00+05:30,2025-12-12 14:15:00+05:30,LONG,171.75,171.59,6916,-1106.5599999999763,Stop Loss
TATASTEEL-EQ,2025-12-12 14:20:00+05:30,2025-12-12 14:30:00+05:30,LONG,171.82,171.68,7825,-1095.4999999998931,Stop Loss
ADANIPORTS-EQ,2025-12-03 14:00:00+05:30,2025-12-03 14:10:00+05:30,SHORT,1490.3,1494.3,271,-1084.0,Stop Loss
BAJAJFINSV-EQ,2025-12-08 14:55:00+05:30,2025-12-08 15:00:00+05:30,SHORT,2042.7,2052.8,106,-1070.6000000000145,Stop Loss
HINDALCO-EQ,2025-12-05 11:55:00+05:30,2025-12-05 12:00:00+05:30,LONG,826.55,826.4,7086,-1062.8999999998389,Stop Loss
HINDALCO-EQ,2025-12-12 14:10:00+05:30,2025-12-12 14:15:00+05:30,LONG,853.2,853.6000000000001,5262,2104.8000000004786,Take Profit
HINDALCO-EQ,2025-12-12 14:20:00+05:30,2025-12-12 14:30:00+05:30,LONG,854.3,853.45,1262,-1072.6999999998852,Stop Loss
JSWSTEEL-EQ,2025-12-03 14:15:00+05:30,2025-12-03 15:10:00+05:30,SHORT,1128.5,1141.7,32,-422.40000000000146,End of Day
JSWSTEEL-EQ,2025-12-08 14:15:00+05:30,2025-12-08 14:20:00+05:30,SHORT,1122.6,1123.2,1764,-1058.4000000002407,Stop Loss
JSWSTEEL-EQ,2025-12-08 14:25:00+05:30,2025-12-08 14:35:00+05:30,SHORT,1121.3,1117.8999999999999,616,2094.400000000056,Take Profit
JSWSTEEL-EQ,2025-12-08 14:50:00+05:30,2025-12-08 15:00:00+05:30,SHORT,1119.8,1121.9,508,-1066.8000000000693,Stop Loss
INDUSINDBK-EQ,2025-12-08 14:15:00+05:30,2025-12-08 14:20:00+05:30,SHORT,837.5,836.5,2116,2116.0,Take Profit
INDUSINDBK-EQ,2025-12-10 11:35:00+05:30,2025-12-10 12:05:00+05:30,SHORT,833.2,834.85,654,-1079.0999999999851,Stop Loss
