symbol,entry_time,exit_time,direction,entry_price,exit_price,quantity,pnl,exit_reason
HINDUNILVR-EQ,2025-12-08 14:15:00+05:30,2025-12-08 14:20:00+05:30,SHORT,2306.5,2306.6,10000,-999.9999999990905,Stop Loss
HINDUNILVR-EQ,2025-12-08 14:30:00+05:30,2025-12-08 14:35:00+05:30,SHORT,2308.9,2306.9,990,1980.0,Take Profit
SBIN-EQ,2025-12-08 14:00:00+05:30,2025-12-08 14:15:00+05:30,SHORT,953.85,955.0,878,-1009.69999999998,Stop Loss
SBIN-EQ,2025-12-08 14:20:00+05:30,2025-12-08 14:25:00+05:30,SHORT,954.3,955.05,1332,-999.0,Stop Loss
SBIN-EQ,2025-12-08 14:45:00+05:30,2025-12-08 14:50:00+05:30,SHORT,954.1,955.2,899,-988.9000000000204,Stop Loss
ASIANPAINT-EQ,2025-12-02 14:20:00+05:30,2025-12-02 14:55:00+05:30,LONG,2934.5,2942.1000000000004,257,1953.2000000000935,Take Profit
TITAN-EQ,2025-12-03 14:15:00+05:30,2025-12-03 14:25:00+05:30,SHORT,3808.7,3802.2999999999993,312,1996.8000000001703,Take Profit
NESTLEIND-EQ,2025-12-08 14:00:00+05:30,2025-12-08 14:30:00+05:30,SHORT,1221.2,1219.2,1019,2038.0,Take Profit
NESTLEIND-EQ,2025-12-08 14:40:00+05:30,2025-12-08 14:45:00+05:30,SHORT,1217.7,1216.5000000000002,1732,2078.399999999685,Take Profit
NESTLEIND-EQ,2025-12-08 14:50:00+05:30,2025-12-08 15:10:00+05:30,SHORT,1216.5,1214.2,378,869.3999999999828,End of Day
ULTRACEMCO-EQ,2025-12-10 14:05:00+05:30,2025-12-10 14:25:00+05:30,SHORT,11369.0,11347.0,97,2134.0,Take Profit
ULTRACEMCO-EQ,2025-12-10 14:30:00+05:30,2025-12-10 14:35:00+05:30,SHORT,11357.0,11349.0,272,2176.0,Take Profit
ADANIENT-EQ,2025-12-01 14:30:00+05:30,2025-12-01 15:10:00+05:30,SHORT,2269.6,2262.5,247,1753.6999999999775,End of Day
