period,description,start_date,end_date,total_trades,winning_trades,losing_trades,win_rate,total_pnl,total_return_pct,profit_factor,avg_win,avg_loss,largest_win,largest_loss,max_drawdown,expectancy
1 WEEK,"Last 7 days (Dec 11-18, 2025)",2025-12-11,2025-12-18,6,2,4,33.33333333333333,0,0,0.6921875621693977,6958.700000000212,-5026.59999999915,9448.600000000253,-5196.79999999865,0,-1031.499999999363
1 MONTH,"Last 30 days (Nov 18 - Dec 18, 2025)",2025-11-18,2025-12-18,53,16,37,30.18867924528302,0,0,0.7026635047965115,5538.906249999978,-3408.747837837877,7772.0,-4999.999999999716,0,-707.5692452830527
3 MONTHS,"Last 90 days (Sep 18 - Dec 18, 2025)",2025-09-19,2025-12-18,191,46,144,24.083769633507853,0,0,0.48628787260864853,2005.019130434799,-1317.1050694444903,9499.600000000253,-5224.800000003168,0,-510.11649214662754
6 MONTHS,"Last 180 days (Jun 18 - Dec 18, 2025)",2025-06-21,2025-12-18,204,54,149,26.47058823529412,0,0,0.5124804384116713,1880.8805555555844,-1330.1218120805827,9499.600000000253,-5224.800000003168,0,-473.6303921568883
1 YEAR,"Full year (Dec 18, 2024 - Dec 18, 2025)",2024-12-18,2025-12-18,204,54,149,26.47058823529412,0,0,0.5124804384116713,1880.8805555555844,-1330.1218120805827,9499.600000000253,-5224.800000003168,0,-473.6303921568883
