symbol,entry_time,exit_time,entry_price,exit_price,quantity,pattern,pnl,pnl_pct,exit_reason
HINDUNILVR-EQ,2025-12-12 09:15:00+05:30,2025-12-12 09:15:00+05:30,2300.9,2300.9,100,Rising Wedge,-460.179999999993,-0.19980019980019675,stop_loss
BHARTIARTL-EQ,2025-12-12 09:15:00+05:30,2025-12-12 09:15:00+05:30,2063.9,2063.9,100,Symmetrical Triangle,-412.78000000002794,-0.19980019980021332,target
KOTAKBANK-EQ,2025-12-12 09:15:00+05:30,2025-12-12 09:15:00+05:30,2183.9,2183.9,100,Symmetrical Triangle,-436.78000000002794,-0.19980019980021255,stop_loss
AXISBANK-EQ,2025-12-12 09:15:00+05:30,2025-12-12 09:15:00+05:30,1286.6,1286.6,100,Falling Wedge,-257.320000000007,-0.19980019980020522,target
BAJFINANCE-EQ,2025-12-12 09:15:00+05:30,2025-12-12 09:15:00+05:30,1017.5,1017.5,100,Falling Wedge,-203.5,-0.1998001998001998,target
HCLTECH-EQ,2025-12-12 09:15:00+05:30,2025-12-12 09:15:00+05:30,1671.0,1671.0,100,Symmetrical Triangle,-334.20000000001164,-0.19980019980020675,target
WIPRO-EQ,2025-12-12 09:15:00+05:30,2025-12-12 09:15:00+05:30,257.99,257.99,100,Symmetrical Triangle,-51.59799999999814,-0.1998001998001926,stop_loss
SUNPHARMA-EQ,2025-12-12 09:15:00+05:30,2025-12-12 09:15:00+05:30,1804.7,1804.7,100,Rising Wedge,-360.9400000000023,-0.1998001998002011,stop_loss
COALINDIA-EQ,2025-12-12 09:15:00+05:30,2025-12-12 09:15:00+05:30,384.75,384.75,100,Rising Wedge,-76.94999999999709,-0.19980019980019226,stop_loss
BAJAJFINSV-EQ,2025-12-12 09:15:00+05:30,2025-12-12 09:15:00+05:30,2076.7,2076.7,100,Symmetrical Triangle,-415.3400000000256,-0.19980019980021213,target
HINDALCO-EQ,2025-12-12 09:15:00+05:30,2025-12-12 09:15:00+05:30,840.4,840.4,100,Symmetrical Triangle,-168.0799999999872,-0.19980019980018457,target
DRREDDY-EQ,2025-12-12 09:15:00+05:30,2025-12-12 09:15:00+05:30,1272.1,1272.1,100,Rising Wedge,-254.4200000000128,-0.19980019980020985,stop_loss
TATACONSUM-EQ,2025-12-12 09:15:00+05:30,2025-12-12 09:15:00+05:30,1144.3,1144.3,100,Rising Wedge,-228.85999999998603,-0.19980019980018762,stop_loss
HDFCLIFE-EQ,2025-12-12 09:15:00+05:30,2025-12-12 09:15:00+05:30,775.2,775.2,100,Ascending Triangle,-155.04000000000815,-0.1998001998002103,target
INFY-EQ,2025-12-12 09:15:00+05:30,2025-12-12 09:30:00+05:30,1595.4,1589.8,100,Symmetrical Triangle,-878.5200000000186,-0.5501080341245934,stop_loss
HINDUNILVR-EQ,2025-12-12 09:30:00+05:30,2025-12-12 09:30:00+05:30,2301.2,2301.2,100,Rising Wedge,-460.2399999999907,-0.19980019980019575,stop_loss
BHARTIARTL-EQ,2025-12-12 09:30:00+05:30,2025-12-12 09:30:00+05:30,2063.3,2063.3,100,Symmetrical Triangle,-412.6599999999744,-0.1998001998001874,target
AXISBANK-EQ,2025-12-12 09:30:00+05:30,2025-12-12 09:30:00+05:30,1287.4,1287.4,100,Falling Wedge,-257.4800000000105,-0.1998001998002079,target
BAJFINANCE-EQ,2025-12-12 09:30:00+05:30,2025-12-12 09:30:00+05:30,1016.6,1016.6,100,Falling Wedge,-203.32000000000698,-0.19980019980020666,target
WIPRO-EQ,2025-12-12 09:30:00+05:30,2025-12-12 09:30:00+05:30,258.2,258.2,100,Symmetrical Triangle,-51.63999999999942,-0.19980019980019753,stop_loss
SUNPHARMA-EQ,2025-12-12 09:30:00+05:30,2025-12-12 09:30:00+05:30,1805.8,1805.8,100,Rising Wedge,-361.1599999999744,-0.19980019980018565,stop_loss
TATAMOTORS-EQ,2025-12-12 09:30:00+05:30,2025-12-12 09:30:00+05:30,346.25,346.25,100,Rising Wedge,-69.25,-0.1998001998001998,stop_loss
COALINDIA-EQ,2025-12-12 09:30:00+05:30,2025-12-12 09:30:00+05:30,385.15,385.15,100,Rising Wedge,-77.02999999999884,-0.19980019980019675,stop_loss
BAJAJFINSV-EQ,2025-12-12 09:30:00+05:30,2025-12-12 09:30:00+05:30,2078.0,2078.0,100,Symmetrical Triangle,-415.5999999999767,-0.19980019980018862,target
HINDALCO-EQ,2025-12-12 09:30:00+05:30,2025-12-12 09:30:00+05:30,841.45,841.45,100,Falling Wedge,-168.29000000000815,-0.19980019980020947,target
LTIM-EQ,2025-12-12 09:30:00+05:30,2025-12-12 09:30:00+05:30,6266.5,6266.5,19,Rising Wedge,-238.12700000000768,-0.19980019980020627,stop_loss
HDFCLIFE-EQ,2025-12-12 09:30:00+05:30,2025-12-12 09:30:00+05:30,778.0,778.0,100,Ascending Triangle,-155.60000000000582,-0.19980019980020725,target
ITC-EQ,2025-12-12 09:45:00+05:30,2025-12-12 09:45:00+05:30,402.6,402.6,100,Rising Wedge,-80.52000000000407,-0.1998001998002099,stop_loss
WIPRO-EQ,2025-12-12 09:45:00+05:30,2025-12-12 09:45:00+05:30,257.8,257.8,100,Symmetrical Triangle,-51.55999999999767,-0.1998001998001908,stop_loss
ONGC-EQ,2025-12-12 09:45:00+05:30,2025-12-12 09:45:00+05:30,237.65,237.65,100,Double Top,-47.529999999998836,-0.1998001998001949,stop_loss
TATAMOTORS-EQ,2025-12-12 09:45:00+05:30,2025-12-12 09:45:00+05:30,346.4,346.4,100,Rising Wedge,-69.27999999999884,-0.19980019980019645,stop_loss
COALINDIA-EQ,2025-12-12 09:45:00+05:30,2025-12-12 09:45:00+05:30,385.3,385.3,100,Rising Wedge,-77.05999999999767,-0.19980019980019378,stop_loss
HEROMOTOCO-EQ,2025-12-12 09:45:00+05:30,2025-12-12 09:45:00+05:30,6033.0,6033.0,20,Symmetrical Triangle,-241.32000000000698,-0.19980019980020558,target
APOLLOHOSP-EQ,2025-12-12 09:45:00+05:30,2025-12-12 09:45:00+05:30,7053.0,7053.0,15,Falling Wedge,-211.5899999999965,-0.1998001998001965,target
UPL-EQ,2025-12-12 09:45:00+05:30,2025-12-12 09:45:00+05:30,748.0,748.0,100,Rising Wedge,-149.60000000000582,-0.19980019980020755,stop_loss
LTIM-EQ,2025-12-12 09:45:00+05:30,2025-12-12 09:45:00+05:30,6258.0,6258.0,18,Rising Wedge,-225.28800000000047,-0.19980019980020022,stop_loss
HDFCLIFE-EQ,2025-12-12 09:45:00+05:30,2025-12-12 09:45:00+05:30,776.55,776.55,100,Ascending Triangle,-155.30999999999767,-0.1998001998001968,target
