symbol,entry_time,exit_time,entry_price,exit_price,quantity,pattern,pnl,pnl_pct,exit_reason,confidence,rr_ratio
HDFCLIFE-EQ,2025-12-12 09:15:00+05:30,2025-12-12 09:30:00+05:30,775.2,778.0,100,Ascending Triangle,124.67999999999302,0.16067523807460987,target,66.58142206431815,1.5516370774756918
HINDALCO-EQ,2025-12-12 09:30:00+05:30,2025-12-12 09:45:00+05:30,841.45,840.9,100,Falling Wedge,-223.23500000000058,-0.26503296453976893,target,70.0051687442992,0.9498906876419276
CIPLA-EQ,2025-12-12 10:45:00+05:30,2025-12-12 11:00:00+05:30,1516.1,1517.7,100,Rising Wedge,-143.37999999997555,-0.09447712105846502,stop_loss,66.0,0.8060746290277706
BPCL-EQ,2025-12-12 09:15:00+05:30,2025-12-12 11:00:00+05:30,356.2,358.7,100,Double Bottom,178.50999999999476,0.500650388353911,target,65.40154329808517,0.2746478873239514
BPCL-EQ,2025-12-12 11:30:00+05:30,2025-12-12 11:45:00+05:30,359.2,359.1,100,Double Bottom,-81.83000000000175,-0.22758421978912444,target,69.87908539090769,0.1039603960395998
NESTLEIND-EQ,2025-12-12 11:00:00+05:30,2025-12-12 12:30:00+05:30,1223.7,1235.6,100,Double Bottom,944.0699999999924,0.7707173924383964,target,70.93450282810065,0.9112903225806531
LT-EQ,2025-12-12 12:45:00+05:30,2025-12-12 13:00:00+05:30,4079.9,4094.5,100,Rising Wedge,642.5599999999977,0.15733671950736036,stop_loss,66.0,0.9272083450223024
CIPLA-EQ,2025-12-12 13:30:00+05:30,2025-12-12 13:45:00+05:30,1522.3,1517.6,100,Rising Wedge,-773.9900000000198,-0.507926678852265,stop_loss,66.0,0.6672808595281902
HCLTECH-EQ,2025-12-12 14:15:00+05:30,2025-12-12 14:30:00+05:30,1669.9,1668.1,100,Symmetrical Triangle,-513.7999999999884,-0.3073757190770116,target,67.08985264166766,1.7835714285730557
ADANIPORTS-EQ,2025-12-12 14:15:00+05:30,2025-12-12 14:30:00+05:30,1526.0,1523.5,100,Ascending Triangle,-554.9500000000116,-0.36329987181888335,stop_loss,71.9988125865822,6.490214672434989
BHARTIARTL-EQ,2025-12-12 14:30:00+05:30,2025-12-12 14:45:00+05:30,2080.2,2080.2,100,Rising Wedge,-416.03999999997905,-0.1998001998001898,stop_loss,66.0,0.3245453734345695
APOLLOHOSP-EQ,2025-12-12 14:45:00+05:30,2025-12-12 15:00:00+05:30,7100.0,7104.0,100,Rising Wedge,-1020.4000000000233,-0.14357473512403418,stop_loss,66.0,0.5630252100839758
NTPC-EQ,2025-12-12 15:00:00+05:30,2025-12-12 15:15:00+05:30,325.0,325.0,100,Symmetrical Triangle,-65.0,-0.1998001998001998,target,67.04616094783815,2.1912280701710807
TATASTEEL-EQ,2025-12-12 15:00:00+05:30,2025-12-12 15:15:00+05:30,171.85,172.0,100,Rising Wedge,-19.385000000002037,-0.11268917291612686,stop_loss,66.0,0.8754473666188982
BPCL-EQ,2025-12-12 15:00:00+05:30,2025-12-12 15:15:00+05:30,364.95,365.0,100,Rising Wedge,-67.99500000000262,-0.1861270665216483,stop_loss,74.0,1.2768359214025695
BHARTIARTL-EQ,2025-12-12 15:15:00+05:30,2025-12-13 11:00:00+05:30,2082.1,2088.4,100,Rising Wedge,212.95000000001164,0.1021743733429107,target,66.0,0.3685572000605042
INDUSINDBK-EQ,2025-12-12 09:30:00+05:30,2025-12-13 11:30:00+05:30,848.85,865.0,100,Double Bottom,1443.6150000000052,1.6989725242066707,target,65.41496761813387,0.5657492354739984
SUNPHARMA-EQ,2025-12-13 12:15:00+05:30,2025-12-13 12:30:00+05:30,1972.8,1972.8,55,Falling Wedge,-217.00800000000163,-0.1998001998002013,target,69.41606390443947,1.0036239305594399
SUNPHARMA-EQ,2025-12-13 12:45:00+05:30,2025-12-13 13:00:00+05:30,1972.8,1972.8,55,Falling Wedge,-217.00800000000163,-0.1998001998002013,target,66.0265931209601,1.0432161825348898
