symbol,entry_time,exit_time,entry_price,exit_price,quantity,pattern,pnl,pnl_pct,exit_reason,confidence,rr_ratio
LT-EQ,2025-11-10 11:40:00+05:30,2025-11-10 14:40:00+05:30,3938.0,3920.1,100,Symmetrical Triangle,-2575.8099999999977,-0.6534374716192892,stop_loss,72.0,2.109012110076922
HEROMOTOCO-EQ,2025-11-11 12:35:00+05:30,2025-11-11 12:40:00+05:30,5410.0,5400.0,100,Rising Wedge,-2081.0,-0.3842737668985359,stop_loss,74.0,2.5676226836286085
BPCL-EQ,2025-11-11 11:25:00+05:30,2025-11-11 13:15:00+05:30,367.0,371.7,100,Ascending Triangle,396.13000000000466,1.078295002000737,target,75.0,9.642174065626376
GRASIM-EQ,2025-11-11 13:55:00+05:30,2025-11-11 14:00:00+05:30,2767.9,2769.6,100,Rising Wedge,-383.75,-0.13850451004972483,target,74.0,2.6013143483021013
RELIANCE-EQ,2025-11-12 11:15:00+05:30,2025-11-12 15:15:00+05:30,1515.2,1509.8,100,Ascending Triangle,-842.5,-0.5554767302391379,stop_loss,70.0,13.248580184753614
