symbol,entry_time,exit_time,entry_price,exit_price,quantity,pattern,pnl,pnl_pct,exit_reason,confidence,rr_ratio
UPL-EQ,2025-12-04 15:00:00+05:30,2025-12-05 10:15:00+05:30,757.05,752.0,100,Symmetrical Triangle,-655.9049999999988,-0.8655303483914525,stop_loss,72.0,8.2858610379455
HEROMOTOCO-EQ,2025-12-04 15:00:00+05:30,2025-12-08 09:15:00+05:30,6341.0,6234.5,100,Symmetrical Triangle,-11907.54999999993,-1.8759902768734076,stop_loss,72.0,2.271402738553588
TATACONSUM-EQ,2025-12-05 15:15:00+05:30,2025-12-08 09:15:00+05:30,1161.9,1161.2,100,Rising Wedge,-302.3100000000122,-0.259925976424825,stop_loss,69.0,2.2788453165868985
ADANIPORTS-EQ,2025-12-12 14:15:00+05:30,2025-12-12 15:15:00+05:30,1526.0,1521.0,100,Ascending Triangle,-804.7000000000116,-0.5267995438375593,end_of_backtest,76.9988125865822,6.490214672434989
NTPC-EQ,2025-12-12 15:00:00+05:30,2025-12-12 15:15:00+05:30,325.0,325.0,100,Symmetrical Triangle,-65.0,-0.1998001998001998,end_of_backtest,72.0,2.1912280701710807
INDUSINDBK-EQ,2025-12-12 15:15:00+05:30,2025-12-12 15:15:00+05:30,845.75,845.75,100,Symmetrical Triangle,-169.14999999999418,-0.19980019980019295,end_of_backtest,72.0,6.001757756100969
BPCL-EQ,2025-12-12 15:15:00+05:30,2025-12-12 15:15:00+05:30,365.0,365.0,100,Rising Wedge,-73.0,-0.1998001998001998,end_of_backtest,74.0,2.3247660418848044
