symbol,entry_time,exit_time,entry_price,exit_price,quantity,pattern,pnl,pnl_pct,exit_reason,confidence,rr_ratio
SBIN-EQ,2025-11-06 14:55:00+05:30,2025-11-06 15:00:00+05:30,961.9,961.0,100,Symmetrical Triangle,-282.29000000000815,-0.2931780767314691,stop_loss,67.0,3.741575123755676
WIPRO-EQ,2025-11-06 14:40:00+05:30,2025-11-07 09:15:00+05:30,240.33,236.99,100,Symmetrical Triangle,-381.73199999999997,-1.5867792175369255,stop_loss,67.0,10.337294652220988
DIVISLAB-EQ,2025-11-07 11:15:00+05:30,2025-11-07 11:40:00+05:30,6856.5,6816.5,100,Symmetrical Triangle,-5367.300000000047,-0.7820226153194937,stop_loss,67.0,9.054646456082027
CIPLA-EQ,2025-11-07 11:30:00+05:30,2025-11-07 12:55:00+05:30,1506.0,1500.3,100,Ascending Triangle,-870.6300000000047,-0.5775300396814372,stop_loss,75.0,5.198202922871511
LT-EQ,2025-11-10 11:40:00+05:30,2025-11-10 14:40:00+05:30,3938.0,3920.1,100,Symmetrical Triangle,-2575.8099999999977,-0.6534374716192892,stop_loss,72.0,2.109012110076922
SBIN-EQ,2025-11-10 11:30:00+05:30,2025-11-11 09:30:00+05:30,954.55,948.15,100,Falling Wedge,-830.2700000000041,-0.8689335911587277,stop_loss,66.0,3.6638685823705193
BPCL-EQ,2025-11-11 11:25:00+05:30,2025-11-11 13:15:00+05:30,367.0,371.7,100,Ascending Triangle,396.13000000000466,1.078295002000737,target,75.0,9.642174065626376
GRASIM-EQ,2025-11-11 13:55:00+05:30,2025-11-11 14:00:00+05:30,2767.9,2769.6,100,Rising Wedge,-383.75,-0.13850451004972483,target,74.0,2.6013143483021013
M&M-EQ,2025-11-11 11:50:00+05:30,2025-11-11 14:50:00+05:30,3702.6,3741.2,100,Symmetrical Triangle,3115.6199999999953,0.840627529980956,target,67.0,2.2458639624376686
INFY-EQ,2025-11-11 12:35:00+05:30,2025-11-12 09:15:00+05:30,1522.6,1544.8,100,Symmetrical Triangle,1913.2599999999802,1.2553189618735265,target,67.0,5.597100182294785
RELIANCE-EQ,2025-11-12 11:15:00+05:30,2025-11-12 15:15:00+05:30,1515.2,1509.8,100,Ascending Triangle,-842.5,-0.5554767302391379,stop_loss,70.0,13.248580184753614
INFY-EQ,2025-11-12 13:10:00+05:30,2025-11-12 15:20:00+05:30,1554.6,1549.3,100,Symmetrical Triangle,-840.3899999999849,-0.5400427438250576,stop_loss,67.0,2.129119111098603
HCLTECH-EQ,2025-11-12 12:40:00+05:30,2025-11-12 15:20:00+05:30,1596.9,1591.4,100,Symmetrical Triangle,-868.8300000000163,-0.5435293618648971,stop_loss,67.0,476.3085996644967
