symbol,entry_time,exit_time,direction,entry_price,exit_price,quantity,pnl,exit_reason
INFY-EQ,2025-12-05 11:50:00+05:30,2025-12-05 12:55:00+05:30,LONG,1627.1,1623.3,263,-999.399999999988,Stop Loss
HINDUNILVR-EQ,2025-12-08 14:15:00+05:30,2025-12-08 14:20:00+05:30,SHORT,2306.5,2306.6,9900,-989.9999999990996,Stop Loss
HINDUNILVR-EQ,2025-12-08 14:30:00+05:30,2025-12-08 14:40:00+05:30,SHORT,2308.9,2309.9,980,-980.0,Stop Loss
SBIN-EQ,2025-12-03 11:30:00+05:30,2025-12-03 11:35:00+05:30,SHORT,948.95,949.5,1764,-970.1999999999198,Stop Loss
SBIN-EQ,2025-12-08 14:00:00+05:30,2025-12-08 14:15:00+05:30,SHORT,953.85,955.0,835,-960.249999999981,Stop Loss
SBIN-EQ,2025-12-08 14:20:00+05:30,2025-12-08 14:25:00+05:30,SHORT,954.3,955.05,1268,-951.0,Stop Loss
SBIN-EQ,2025-12-08 14:45:00+05:30,2025-12-08 14:50:00+05:30,SHORT,954.1,955.2,855,-940.5000000000194,Stop Loss
ASIANPAINT-EQ,2025-12-02 14:20:00+05:30,2025-12-02 15:00:00+05:30,LONG,2934.5,2945.9000000000005,245,2793.0000000001337,Take Profit
HCLTECH-EQ,2025-12-05 11:45:00+05:30,2025-12-05 14:00:00+05:30,LONG,1685.6,1683.0,369,-959.3999999999664,Stop Loss
TITAN-EQ,2025-12-03 14:15:00+05:30,2025-12-03 14:35:00+05:30,SHORT,3808.7,3799.099999999999,297,2851.200000000243,Take Profit
NESTLEIND-EQ,2025-12-08 14:00:00+05:30,2025-12-08 14:35:00+05:30,SHORT,1221.2,1218.2,978,2934.0,Take Profit
NESTLEIND-EQ,2025-12-08 14:40:00+05:30,2025-12-08 14:50:00+05:30,SHORT,1217.7,1218.3,1680,-1007.9999999998472,Stop Loss
ULTRACEMCO-EQ,2025-12-10 14:05:00+05:30,2025-12-10 14:35:00+05:30,SHORT,11369.0,11336.0,90,2970.0,Take Profit
TECHM-EQ,2025-12-05 11:55:00+05:30,2025-12-05 12:25:00+05:30,LONG,1576.6,1581.3999999999996,642,3081.599999999825,Take Profit
ADANIENT-EQ,2025-12-01 14:30:00+05:30,2025-12-01 15:10:00+05:30,SHORT,2269.6,2262.5,235,1668.4999999999786,End of Day
ADANIENT-EQ,2025-12-08 14:15:00+05:30,2025-12-08 14:20:00+05:30,SHORT,2207.1,2211.1,268,-1072.0,Stop Loss
ADANIENT-EQ,2025-12-11 14:00:00+05:30,2025-12-11 14:05:00+05:30,LONG,2277.5,2276.8,1520,-1063.9999999997235,Stop Loss
ADANIENT-EQ,2025-12-11 14:10:00+05:30,2025-12-11 14:20:00+05:30,LONG,2278.8,2284.2000000000007,585,3159.0000000003192,Take Profit
ADANIENT-EQ,2025-12-11 14:25:00+05:30,2025-12-11 14:35:00+05:30,LONG,2284.9,2279.5,201,-1085.4000000000183,Stop Loss
POWERGRID-EQ,2025-12-08 14:05:00+05:30,2025-12-08 14:10:00+05:30,SHORT,265.3,265.5,5373,-1074.599999999939,Stop Loss
POWERGRID-EQ,2025-12-08 14:15:00+05:30,2025-12-08 14:20:00+05:30,SHORT,265.4,265.45,21280,-1064.000000000242,Stop Loss
NTPC-EQ,2025-12-03 14:15:00+05:30,2025-12-03 14:35:00+05:30,SHORT,321.65,322.15,2106,-1053.0,Stop Loss
TATAMOTORS-EQ,2025-12-08 14:00:00+05:30,2025-12-08 14:10:00+05:30,SHORT,347.8,346.7500000000001,2979,3127.949999999695,Take Profit
TATAMOTORS-EQ,2025-12-08 14:15:00+05:30,2025-12-08 14:20:00+05:30,SHORT,346.5,346.85,3068,-1073.8000000000698,Stop Loss
TATAMOTORS-EQ,2025-12-08 14:25:00+05:30,2025-12-08 14:30:00+05:30,SHORT,346.8,347.0,5316,-1063.1999999999396,Stop Loss
TATAMOTORS-EQ,2025-12-10 11:00:00+05:30,2025-12-10 11:10:00+05:30,SHORT,342.3,343.0,1503,-1052.0999999999829,Stop Loss
TATASTEEL-EQ,2025-12-08 14:05:00+05:30,2025-12-08 14:10:00+05:30,SHORT,164.03,163.82000000000002,14889,3126.6899999996954,Take Profit
TATASTEEL-EQ,2025-12-08 14:15:00+05:30,2025-12-08 14:20:00+05:30,SHORT,163.79,163.49,10735,3220.4999999998167,Take Profit
TATASTEEL-EQ,2025-12-12 14:00:00+05:30,2025-12-12 14:35:00+05:30,LONG,171.7,171.42,3948,-1105.4400000000046,Stop Loss
ADANIPORTS-EQ,2025-12-03 14:00:00+05:30,2025-12-03 14:10:00+05:30,SHORT,1490.3,1494.3,273,-1092.0,Stop Loss
BAJAJFINSV-EQ,2025-12-08 14:55:00+05:30,2025-12-08 15:00:00+05:30,SHORT,2042.7,2052.8,107,-1080.7000000000146,Stop Loss
HINDALCO-EQ,2025-12-05 11:55:00+05:30,2025-12-05 12:00:00+05:30,LONG,826.55,826.4,7152,-1072.7999999998374,Stop Loss
HINDALCO-EQ,2025-12-12 14:10:00+05:30,2025-12-12 14:15:00+05:30,LONG,853.2,853.8000000000002,5311,3186.6000000007243,Take Profit
HINDALCO-EQ,2025-12-12 14:20:00+05:30,2025-12-12 14:30:00+05:30,LONG,854.3,853.45,1287,-1093.949999999883,Stop Loss
JSWSTEEL-EQ,2025-12-03 14:15:00+05:30,2025-12-03 15:10:00+05:30,SHORT,1128.5,1141.7,32,-422.40000000000146,End of Day
JSWSTEEL-EQ,2025-12-08 14:15:00+05:30,2025-12-08 14:20:00+05:30,SHORT,1122.6,1123.2,1798,-1078.8000000002453,Stop Loss
JSWSTEEL-EQ,2025-12-08 14:25:00+05:30,2025-12-08 14:35:00+05:30,SHORT,1121.3,1116.1999999999998,628,3202.8000000000857,Take Profit
JSWSTEEL-EQ,2025-12-08 14:50:00+05:30,2025-12-08 15:00:00+05:30,SHORT,1119.8,1121.9,523,-1098.3000000000713,Stop Loss
JSWSTEEL-EQ,2025-12-10 14:25:00+05:30,2025-12-10 14:30:00+05:30,SHORT,1098.1,1099.8,640,-1088.000000000029,Stop Loss
INDUSINDBK-EQ,2025-12-08 14:15:00+05:30,2025-12-08 14:20:00+05:30,SHORT,837.5,836.0,2156,3234.0,Take Profit
INDUSINDBK-EQ,2025-12-10 11:00:00+05:30,2025-12-10 12:20:00+05:30,SHORT,836.35,840.2,288,-1108.8000000000065,Stop Loss
INDUSINDBK-EQ,2025-12-10 14:00:00+05:30,2025-12-10 14:45:00+05:30,SHORT,836.6,832.7000000000002,845,3295.4999999998845,Take Profit
GRASIM-EQ,2025-12-11 14:35:00+05:30,2025-12-11 15:00:00+05:30,LONG,2797.8,2794.0,298,-1132.4000000000542,Stop Loss
TATACONSUM-EQ,2025-12-08 14:00:00+05:30,2025-12-08 14:10:00+05:30,SHORT,1147.4,1148.1,1601,-1120.6999999997088,Stop Loss
TATACONSUM-EQ,2025-12-08 14:15:00+05:30,2025-12-08 14:25:00+05:30,SHORT,1148.0,1148.3,3699,-1109.6999999998318,Stop Loss
TATACONSUM-EQ,2025-12-08 14:30:00+05:30,2025-12-08 14:50:00+05:30,SHORT,1148.7,1150.9,499,-1097.8000000000227,Stop Loss
DIVISLAB-EQ,2025-12-08 14:00:00+05:30,2025-12-08 14:40:00+05:30,SHORT,6312.5,6282.5,108,3240.0,Take Profit
HEROMOTOCO-EQ,2025-12-08 14:15:00+05:30,2025-12-08 14:20:00+05:30,SHORT,6170.0,6158.0,280,3360.0,Take Profit
HEROMOTOCO-EQ,2025-12-08 14:25:00+05:30,2025-12-08 14:30:00+05:30,SHORT,6167.0,6158.0,384,3456.0,Take Profit
HEROMOTOCO-EQ,2025-12-10 14:05:00+05:30,2025-12-10 14:10:00+05:30,SHORT,5932.5,5937.0,264,-1188.0,Stop Loss
HEROMOTOCO-EQ,2025-12-10 14:15:00+05:30,2025-12-10 14:25:00+05:30,SHORT,5925.0,5929.0,294,-1176.0,Stop Loss
HEROMOTOCO-EQ,2025-12-10 14:45:00+05:30,2025-12-10 15:00:00+05:30,SHORT,5928.5,5938.0,122,-1159.0,Stop Loss
BPCL-EQ,2025-12-01 14:25:00+05:30,2025-12-01 15:10:00+05:30,SHORT,354.95,354.5,1213,545.8499999999863,End of Day
BPCL-EQ,2025-12-12 14:00:00+05:30,2025-12-12 15:05:00+05:30,LONG,362.7,364.2,2317,3475.5,Take Profit
SHRIRAMFIN-EQ,2025-12-08 14:15:00+05:30,2025-12-08 14:20:00+05:30,SHORT,833.4,833.5,11934,-1193.4000000002713,Stop Loss
SHRIRAMFIN-EQ,2025-12-10 14:55:00+05:30,2025-12-10 15:00:00+05:30,SHORT,835.0,836.75,675,-1181.25,Stop Loss
TRENT-EQ,2025-12-01 14:50:00+05:30,2025-12-01 15:10:00+05:30,SHORT,4216.7,4222.6,29,-171.10000000001583,End of Day
