symbol,entry_time,exit_time,direction,entry_price,exit_price,quantity,pnl,exit_reason
RELIANCE-EQ,2024-11-26 15:00:00+05:30,2024-11-26 15:05:00+05:30,LONG,1294.1,1296.8999999999996,714,1999.1999999998052,Take Profit
RELIANCE-EQ,2024-11-27 13:55:00+05:30,2024-11-27 14:15:00+05:30,LONG,1298.35,1295.0,304,-1018.3999999999724,Stop Loss
RELIANCE-EQ,2024-11-29 13:25:00+05:30,2024-11-29 13:30:00+05:30,LONG,1296.5,1297.5,2019,2019.0,Take Profit
RELIANCE-EQ,2024-11-29 15:05:00+05:30,2024-11-29 15:10:00+05:30,LONG,1294.0,1292.0,514,-1028.0,Stop Loss
HDFCBANK-EQ,2024-11-25 12:15:00+05:30,2024-11-25 12:20:00+05:30,LONG,890.53,890.3,4433,-1019.5900000000806,Stop Loss
HDFCBANK-EQ,2024-11-25 15:00:00+05:30,2024-11-25 15:10:00+05:30,LONG,891.33,890.65,153,-104.04000000000974,End of Day
HDFCBANK-EQ,2024-11-27 12:10:00+05:30,2024-11-27 12:15:00+05:30,LONG,897.35,898.65,1551,2016.2999999999295,Take Profit
HDFCBANK-EQ,2024-11-27 12:20:00+05:30,2024-11-27 12:25:00+05:30,LONG,899.6,899.35,4114,-1028.5,Stop Loss
HDFCBANK-EQ,2024-11-27 13:55:00+05:30,2024-11-27 15:00:00+05:30,LONG,901.13,907.4899999999999,320,2035.199999999968,Take Profit
HDFCBANK-EQ,2024-11-27 15:05:00+05:30,2024-11-27 15:10:00+05:30,LONG,904.58,904.7400000000001,12983,2077.280000001063,Take Profit
