symbol,entry_time,exit_time,entry_price,exit_price,quantity,pattern,pnl,pnl_pct,exit_reason,confidence,rr_ratio
HEROMOTOCO-EQ,2025-12-04 15:00:00+05:30,2025-12-04 15:15:00+05:30,6341.0,6340.0,100,Symmetrical Triangle,-1368.0999999999767,-0.21553907376332498,stop_loss,72.0,2.271402738553588
UPL-EQ,2025-12-04 15:00:00+05:30,2025-12-04 15:15:00+05:30,757.05,755.7,100,Symmetrical Triangle,-286.27500000000873,-0.37776766526520006,stop_loss,72.0,8.2858610379455
TATACONSUM-EQ,2025-12-05 15:15:00+05:30,2025-12-08 09:15:00+05:30,1161.9,1161.2,100,Rising Wedge,-302.3100000000122,-0.259925976424825,stop_loss,69.0,2.2788453165868985
ADANIPORTS-EQ,2025-12-12 14:15:00+05:30,2025-12-12 14:30:00+05:30,1526.0,1523.5,100,Ascending Triangle,-554.9500000000116,-0.36329987181888335,stop_loss,76.9988125865822,6.490214672434989
NTPC-EQ,2025-12-12 15:00:00+05:30,2025-12-12 15:15:00+05:30,325.0,325.0,100,Symmetrical Triangle,-65.0,-0.1998001998001998,end_of_backtest,72.0,2.1912280701710807
INDUSINDBK-EQ,2025-12-12 15:15:00+05:30,2025-12-12 15:15:00+05:30,845.75,845.75,100,Symmetrical Triangle,-169.14999999999418,-0.19980019980019295,end_of_backtest,72.0,6.001757756100969
BPCL-EQ,2025-12-12 15:15:00+05:30,2025-12-12 15:15:00+05:30,365.0,365.0,100,Rising Wedge,-73.0,-0.1998001998001998,end_of_backtest,74.0,2.3247660418848044
